**** Planta:  120 JAGUARI      Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2038  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2039  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2040  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2041  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
2042  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8  2227.8
**** Planta:  122 SANTA BRANCA Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2022   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2023   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2024   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2025   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2026   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2027   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2028   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2029   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2030   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2031   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2032   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2033   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2034   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2035   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2036   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2037   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2038   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2039   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2040   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2041   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
2042   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8   161.8
**** Planta:  123 FUNIL        Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2022  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2023  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2024  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2025  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2026  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2027  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2028  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2029  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2030  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2031  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2032  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2033  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2034  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2035  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2036  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2037  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2038  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2039  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2040  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2041  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
2042  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59  464.59
**** Planta:  124 LAJES        Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
202183.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202383.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202483.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202583.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202683.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202783.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202883.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
202983.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203083.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203183.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203383.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203483.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203583.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203683.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203783.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203883.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
203983.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
204083.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
204183.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
204283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.7339283.73392
**** Planta:  135 P. ESTRELA   Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021      56      56      56      56      56      56      56      56      56      56      56      56
2022      56      56      56      56      56      56      56      56      56      56      56      56
2023      56      56      56      56      56      56      56      56      56      56      56      56
2024      56      56      56      56      56      56      56      56      56      56      56      56
2025      56      56      56      56      56      56      56      56      56      56      56      56
2026      56      56      56      56      56      56      56      56      56      56      56      56
2027      56      56      56      56      56      56      56      56      56      56      56      56
2028      56      56      56      56      56      56      56      56      56      56      56      56
2029      56      56      56      56      56      56      56      56      56      56      56      56
2030      56      56      56      56      56      56      56      56      56      56      56      56
2031      56      56      56      56      56      56      56      56      56      56      56      56
2032      56      56      56      56      56      56      56      56      56      56      56      56
2033      56      56      56      56      56      56      56      56      56      56      56      56
2034      56      56      56      56      56      56      56      56      56      56      56      56
2035      56      56      56      56      56      56      56      56      56      56      56      56
2036      56      56      56      56      56      56      56      56      56      56      56      56
2037      56      56      56      56      56      56      56      56      56      56      56      56
2038      56      56      56      56      56      56      56      56      56      56      56      56
2039      56      56      56      56      56      56      56      56      56      56      56      56
2040      56      56      56      56      56      56      56      56      56      56      56      56
2041      56      56      56      56      56      56      56      56      56      56      56      56
2042      56      56      56      56      56      56      56      56      56      56      56      56
**** Planta:    6 FURNAS       Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2022    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2023    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2024    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2025    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2026    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2027    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2028    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2029    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2030    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2031    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2032    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2033    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2034    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2035    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2036    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2037    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2038    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2039    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2040    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2041    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
2042    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733    5733
**** Planta:    7 M. DE MORAES Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2022    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2023    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2024    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2025    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2026    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2027    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2028    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2029    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2030    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2031    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2032    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2033    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2034    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2035    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2036    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2037    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2038    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2039    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2040    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2041    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
2042    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877    1877
**** Planta:   34 I. SOLTEIRA  Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2022 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2023 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2024 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2025 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2026 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2027 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2028 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2029 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2030 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2031 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2032 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2033 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2034 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2035 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2036 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2037 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2038 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2039 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2040 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2041 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
2042 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9 18085.9
**** Planta:   37 BARRA BONITA Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2022 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2023 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2024 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2025 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2026 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2027 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2028 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2029 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2030 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2031 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2032 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2033 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2034 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2035 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2036 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2037 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2038 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2039 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2040 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2041 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
2042 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12 1808.12
**** Planta:   40 PROMISSAO    Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2022 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2023 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2024 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2025 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2026 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2027 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2028 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2029 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2030 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2031 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2032 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2033 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2034 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2035 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2036 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2037 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2038 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2039 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2040 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2041 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
2042 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06 5896.06
**** Planta:   43 TRES IRMAOS  Penal:           -1
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2022 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2023 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2024 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2025 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2026 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2027 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2028 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2029 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2030 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
2031 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7 11494.7
